Each group will read a pair of primary source documents from the National Archives.,Ang tagsa ka grupo magabasa sang isa ka paris sang panguna nga mga dokumento gikan sa National Archives.
"""There, a team of fishermen use torturous methods to drive dolphins into the cove for the purpose of selling them into captivity at marine parks and swim-with-dolphin programs, or slaughtering them for their meat.""","""Didto, ang isa ka grupo sang mga mangingisda nagagamit sang makapaantos nga mga pamaagi sa pagdala sang mga dolphin sa cove sa katuyuan nga ibaligya sila sa mga parke sa dagat kag mga programa sa paglangoy-upod sa mga dolphin, ukon ihawon sila para sa ila karne."""
The village's name comes from its having been owned by the Abbey of Hyde.,Ang ngalan sang minuro naghalin sa pagpanag-iya sini sang Abbey of Hyde.
The prices at these schools will be our prices.,Ang mga presyo sa sini nga mga eskwelahan mangin aton mga presyo.
He begins by defining each property and providing simple examples of each.,Nagasugod sia paagi sa paghatag kahulugan sang tagsa ka propiedad kag paghatag sang simple nga mga halimbawa sang tagsa.
"""This to Du Bois was the failure of reconstruction and the reason for the rise of the Jim Crow laws, and other such injustices.""","""Ini para kay Du Bois amo ang kapaslawan sang pagtukod liwat kag ang rason sang pag-uswag sang mga kasuguan ni Jim Crow, kag iban pa nga mga inhustisya."""
We need to focus on 1:1 and perhaps turning computer labs into tech rooms that will allow students to interact with devices using their own device.,Kinahanglan naton nga magkonsentrar sa 1:1 kag ayhan himuon ang mga computer lab nga mangin mga tech room nga magatugot sa mga estudyante nga makig-angot sa mga device gamit ang ila kaugalingon nga device.
Learn the best techniques and receive helpful tips.,Tun-i ang pinakamaayo nga mga teknik kag magbaton sang mapuslanon nga mga tip.
"""As a thorough review of the implications of the science, economics and geopolitics of the debate shows, the supposed cure is worse than the disease.""","""Subong sang ginapakita sang maid-id nga pagrepaso sang mga implikasyon sang siensia, ekonomiya kag geopolitika sang debate, ang ginasiling nga bulong mas malain pa sangsa balatian."""
Debtors should look for alternative solutions to settle their debts before considering applying for their own bankruptcy.,Ang mga may utang dapat mangita sang alternatibo nga mga solusyon sa paghusay sang ila mga utang antes magbinagbinag sa pag-aplay para sa ila kaugalingon nga pagkabangkaruta.
"""Adults under the neurosis, neurasthenia, hysteria, spastic palsies and prevention of epileptic attacks can apply 2-10mg three (sometimes four) times a day.""","""Ang mga adulto nga may neurosis, neurasthenia, hysteria, spastic palsies kag pagtapna sang epileptic attacks mahimo mag-apply sang 2-10mg tatlo (kon kaisa apat) ka beses sa isa ka adlaw."""
One truth regarding the conditions of the human blood found out by medical doctors is that acidity is a sign of disease.,Ang isa ka kamatuoran nahanungod sa mga kahimtangan sang dugo sang tawo nga natukiban sang mga doktor amo nga ang kaasido isa ka tanda sang balatian.
"""With the example of Kinywang'anga I wanted to show the usefulness to biblical scholarship, to say nothing of the necessity, of getting to know people living in poverty and to understand their living conditions.""","""Paagi sa halimbawa ni Kinywang'anga luyag ko ipakita ang kapuslanan sang iskolar sa bibliya, nga indi magsiling sang kinahanglanon, sang pagkilala sa mga tawo nga nagakabuhi sa kaimulon kag sa paghangop sang ila mga kahimtangan sa pagkabuhi."""
"""Platforms such as Visual Studio Code, Atom or Eclipse Theia embed web technologies (HTML and Typescript) into a desktop application (using Electron).""","""Ang mga plataporma pareho sang Visual Studio Code, Atom ukon Eclipse Theia nagabutang sang mga teknolohiya sa web (HTML kag Typescript) sa isa ka aplikasyon sa desktop (gamit ang Electron)."""
"""The chapters include parallelogram, triangles, circles, chords, tangents and various other topics.""","""Ang mga kapitulo nagalakip sang parallelogram, trianggulo, sirkulo, kuwerdas, tangent kag nagkalainlain nga iban pa nga mga topiko."""
"""Nearly 40% of employees in California emergency rooms said they had been assaulted on the job in the previous year, according to a survey by UC San Francisco and other researchers in 2007.""","""Halos 40% sang mga empleyado sa mga emergency room sa California ang nagsiling nga sila gin-atake sa trabaho sang nagligad nga tuig, suno sa isa ka surbey sang UC San Francisco kag iban pa nga mga manugpanalawsaw sang 2007."""
"""Although they have not yet proven it, it is likely that anxiety cells also exist in humans.""","""Bisan pa wala pa nila ini mapamatud-an, posible nga ang mga selula sang kabalaka nagaluntad man sa mga tawo."""
The Indiana Department of Homeland Security and the Indiana State Department of Health provide the following information to help residents protect themselves and their property.,Ang Indiana Department of Homeland Security kag ang Indiana State Department of Health nagahatag sang masunod nga impormasyon agud buligan ang mga pumuluyo nga maprotektahan ang ila kaugalingon kag ang ila propiedad.
"""Keeping extra weight off requires effort and commitment, just as losing weight does.""","""Ang paghupot sang dugang nga kabug-aton nagakinahanglan sang panikasog kag pangako, pareho sang pagbuhin sang kabug-aton."""
What sort of size are they?,Ano nga sahi sang kadakuon sila?
"""The first black Model T became part of the assembly line five years later, and this started a decade of monochromatic Model T's all over the world.""","""Ang una nga itom nga Model T nangin kabahin sang linya sang pagtipon lima ka tuig sang ulihi, kag nagsugod ini sang isa ka dekada sang monochromatic Model T sa bug-os nga kalibutan."""
"""The influence that brings, let us say, cotton cloth to a natural price is one that works throughout the productive system.""","""Ang impluwensya nga nagadala, hambalon naton, ang panapton nga gapas sa isa ka natural nga presyo amo ang isa nga nagapanghikot sa bug-os nga sistema sang produktibo."""
What Wennberg and his colleagues found was that there is substantial variation in medical care from one community to the next.,Ang natukiban ni Wennberg kag sang iya mga kaupod amo nga may daku nga pagkatuhay sa pag-atipan sa medisina gikan sa isa ka komunidad pakadto sa masunod.
"""He asserted that general Stuart, the English envoy, had endeavoured to excite the Turks to assassinate him.""","""Ginpahayag niya nga si heneral nga si Stuart, ang Ingles nga sinugo, nagtinguha sa pagpukaw sa mga Turko nga patyon sia."""
Medical experts agree the treatment of atrial fibrillation is crucial for patient well-being.,Ang mga eksperto sa medisina nagaugyon nga ang pagbulong sang atrial fibrillation importante gid para sa kaayuhan sang pasyente.
The paper closes with a discussion of the lessons that can be learned from the analysis of Stuxnet's propagation pathways.,Ang papel nagatapos sa paghinun-anon sang mga leksyon nga matun-an gikan sa pag-analisar sang mga alagyan sang pagpalapnag sang Stuxnet.
"""If you have had a smoldering fire that has burned at a low heat, you may find that you have wet smoke residue.""","""Kon may yara ka sang nagadabadaba nga kalayo nga nagdabdab sa manubo nga kainit, mahimo nga makita mo nga may yara ka sang basa nga aso nga nabilin."""
This is taking place while NATO countries are moving to supplying the insurgent forces in Syria with arms.,Nagakatabo ini samtang ang mga pungsod sang NATO nagahulag sa paghatag sang mga armas sa mga rebelde nga pwersa sa Syria.
"""Does having electricity give us the freedom to do whatever we like day or night, because we have light?""","""Ang pagkaangkon bala sang kuryente nagahatag sa aton sang kahilwayan sa paghimo sang bisan ano nga luyag naton sa adlaw ukon gab-i, bangod may kasanag kita?"""
"""This involves a rare disorder concerning memory loss where the person become confused of their identity and often assumes a different identity that may last for a few hours, days, or months.""","""Nagalakip ini sang isa ka talagsahon nga balatian nahanungod sa pagkadula sang memorya sa diin ang tawo nagalibog ang ulo sa iya identidad kag masami nga nagahunahuna sang lain nga identidad nga mahimo magdugay sa pila ka oras, adlaw, ukon bulan."""
