Hiligaynon	Hiligaynon	English 
a	Ang a ginagamit sa pagsugod sang estorya.	The particle oh is used to begin a story.
-a	Kuhá’a ang líbro sa lamésa.	Get the book from the table.
abakáda	Tumanon ta ang abakáda.	Let us learn the alphabet.
abága	Ginsugo siya nga kuhaon ang abága.	He/She was told to get the shoulder.
abalóryo	Nagdala siya sang abalóryo para sa ila.	He/She brought the rosary beads for them.
ábay	Ginpangita niya ang ábay sa balay.	He/She looked for the of weddings at home.
abáw	Ang abáw ginagamit sa pagsugod sang estorya.	The particle oh is used to begin a story.
aberíya	Nag’aberíya ang kótse.	The car had engine trouble.
abogádo	Gintawag ang abogádo sa korte.	The lawyer was called to court.
abóso	Ginprotektahan siya kontra sa abóso.	He/She was protected against abuse.
ábri	Nag’ábri si Pédro sang bintána.	Pedro opened a window.
Abríl	Ang Abríl nahulog sa salog.	The april fell on the floor.
ábtik	Ginsuportahan nila ang ábtik nga kabataan.	They supported the active youth.
abú	Ginpautang niya ang abú sa iya amigo.	He/She lent the ash to his/her friend.
abúnu	Ginbasa niya ang tungol sa abúnu.	He/She read about the fertilizer.
abút	Nag’abút sya kahápun.	He arrived yesterday.
ábyan	Ábyan ko siya halin sang bata pa kita.	He/She has been my friend since we were young.
ákig	Gin’akígan sya sang ma’éstra.	The teacher scolded her.
akú	Akú ang nagbulig sa iya.	I am the one who helped him/her.
ákun	Ákun nga pamilya nagapuyo sa Iloilo.	My family lives in Iloilo.
ádlaw	Ang matag ádlaw regalo.	Every day is a gift.
-ado	Baldádo ang ákun láwas.	My body is all tired out.
ága	Ginbili niya ang ága sa merkado.	He/She bought the morning at the market.
agálun	Ginsugo siya nga kuhaon ang agálun.	He/She was told to get the master.
ágaw	Gin’ágaw sang báta’ ang lápis.	The child grabbed the pencil.
ágay	Gintudluan siya kon paano magágay.	He/She was taught how to to flow slowly.
ágbay	Nag ágbay sya kay Cárlos.	He put his arms around Carlos’ shoulder.
ágda	Gin’ágda sya pára sa pyésta.	He was invited to the fiesta.
ági	Ginbutang niya ang ági sa aparador.	He/She put the handwriting; way, means in the cabinet.
Agósto	Nabalaka siya tungod sa Agósto.	He/She was worried because of the august.
agrimensór	Ginbantayan niya ang agrimensór sing maayo.	He/She took good care of the surveyor.
ágsa	Nagsugod na siya nga to work another’s field for part of the produce.	He/She has already begun to to work another’s field for part of the produce.
ágsik	Nag’ágsik ang túbig.	The water sprayed.
ágtang	Ginpautang niya ang ágtang sa iya amigo.	He/She lent the forehead to his/her friend.
agúd	Ginagamit ang agúd sa pagpahayag sang pagbati.	The word so that is used to express feelings.
águm	Gin’águm nya ang katibawásan sa pangabúhi’.	He attained success in life.
ágwa	Ginhinay-hinay niya ang ágwa.	He/She handled the perfume gently.
agwánta	Nag’ agwánta sya sang madámu’ nga kasákit.	He suffered through a lot of heartaches.
ahénsya	Ginbuksan niya ang ahénsya sing hinay.	He/She carefully opened the pawnshop.
