reference	hiligaynon	english
GEN.1.1	Sang ginsuguran, gintuga sang Dios ang kalangitan kag ang kalibutan.	In the beginning God created the heaven and the earth.
GEN.1.10	Gintawag niya nga “duta” ang mamala nga lugar kag gintawag niya nga “dagat” ang natingob nga tubig. Nanamian ang Dios sa iya nakita.	And God called the dry land land Earth; and the gathering together of the waters called he Seas: and God saw that it was it was good.
GEN.1.11	Dayon nagsiling ang Dios, “Magtubo sa duta ang mga tanom: ang mga tanom nga may mga liso kag ang mga kahoy nga nagapamunga suno sa ila nga klase.” Kag nahimo ini.	And God said, Let the earth bring forth grass, the herb yielding seed, and and the fruit tree yielding fruit after his kind, whose seed is is in itself, upon the earth: and it was so.
GEN.1.12	Nagtubo sa duta ang tanan nga klase sang tanom, kag nanamian ang Dios sa mga tanom nga iya nakita.	And the earth brought forth grass, and and herb yielding seed after his kind, and the tree yielding fruit, whose seed was was in itself, after his kind: and God saw that it was it was good.
GEN.1.13	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikatatlo nga adlaw.	And the evening and the morning were the third day.
GEN.1.14	Dayon nagsiling ang Dios, “Matuga sa kalangitan ang mga butang nga may kasanag sa pagseparar sang adlaw kag sang gab-i, kag bilang palatandaan sang pag-umpisa sang mga panahon, # 1:14 mga panahon: buot silingon, mga panahon sang piesta, mga panahon sang tigtalanom kag tig-alani, kag iban pa nga mga importante nga panahon. # 1:14 mga panahon: buot silingon, mga panahon sang piesta, mga panahon sang tigtalanom kag tig-alani, kag iban pa nga mga importante nga panahon. 1:14 mga panahon: buot silingon, mga panahon sang piesta, mga panahon sang tigtalanom kag tig-alani, kag iban pa nga mga importante nga panahon. mga adlaw kag mga tuig.	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:
GEN.1.15	Magsiga sila sa kalangitan sa paghatag kasanag sa kalibutan.” Kag nahimo ini.	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
GEN.1.16	Gani nahimo ang duha ka dalagko nga mga butang nga may kasanag: ang mas dako nga magasanag kon adlaw, kag ang gamay nga magasanag kon gab-i. Nahimo man ang mga bituon.	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made he made the stars also.
GEN.1.19	Nag-abot ang kagab-ihon, pagkatapos ang kaagahon. Amo ato ang ikaapat nga adlaw.	And the evening and the morning were the fourth day.
GEN.1.2	Ang kalibutan sadto wala pa sing porma kag mahawan pa. Ang tubig nga nagatabon sa kalibutan nalikupan sang kadulom. Kag ang Espiritu sang Dios # 1:2 Espiritu sang Dios: ukon, gahom sang Dios; ukon, hangin nga halin sa Dios; ukon, mabaskog nga hangin # 1:2 Espiritu sang Dios: ukon, gahom sang Dios; ukon, hangin nga halin sa Dios; ukon, mabaskog nga hangin 1:2 Espiritu sang Dios: ukon, gahom sang Dios; ukon, hangin nga halin sa Dios; ukon, mabaskog nga hangin nagahulag sa ibabaw sang tubig.	And the earth was without form, and void; and darkness was was upon the face of the deep. And the Spirit of God moved upon the face of the waters.
GEN.1.20	Dayon nagsiling ang Dios, “Magdamo ang nagkalain-lain nga sapat sa tubig, kag maglupad ang nagkalain-lain nga sapat # 1:20 nagkalain-lain nga sapat: Ang Hebreo sini nagakahulugan sang pispis, mga sapat-sapat nga nagalupad, kag sang iban pa nga klase sang mga sapat nga nagalupad. # 1:20 nagkalain-lain nga sapat: Ang Hebreo sini nagakahulugan sang pispis, mga sapat-sapat nga nagalupad, kag sang iban pa nga klase sang mga sapat nga nagalupad. 1:20 nagkalain-lain nga sapat: Ang Hebreo sini nagakahulugan sang pispis, mga sapat-sapat nga nagalupad, kag sang iban pa nga klase sang mga sapat nga nagalupad. sa kahanginan.”	And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that that may fly above the earth in the open firmament of heaven.
