Hiligaynon,English
Ang nanay nagahurot sang tanan niya nga kusog para sa iya pamilya nga wala sang reklamo.,The mother uses up every bit of her strength for her family without complaint.
Maayong aga sa inyo tanan.,Good morning to you all.
Diin dampi ang pinakamaayo nga kalan-an diri?,Where is the best place to eat around here?
Ginatugnaw ako subong nga hapon.,I am feeling cold this afternoon.
Palihog patay ang suga antes ikaw magguwa.,Please turn off the light before you leave.
Kaupod ko ang akon pamilya sa plasa.,I am with my family at the plaza.
Tagpila ang kilo sang paho sa merkado?,How much is a kilo of mangoes at the market?
Wala ako tuyo nga masakitan ka.,I did not intend to hurt you.
Mapuli na kita sa balay dugay-dugay,We will be going home shortly.
Gutom na gid ako katama.,I am extremely hungry already.
Sin-o ang nagtawag sa imo kagina?,Who called you earlier?
Malakat kami sa SM City Iloilo sa Sabado.,We are going to SM City Iloilo on Saturday.
Kanami sang huyup sang hangin diri sa Esplanade.,The breeze here at the Esplanade is so refreshing.
Indi ka maglapta sa dalan.,Do not litter on the street.
Masakit ang akon likod tungod sa bug-at nga dala.,My back hurts because of the heavy load.
Nalipay gid ako nga nakita taka liwat.,I am very happy to see you again.
Kinahanglan mo magtuon sang maayo para sa imo eksam sa bwas.,You need to study hard for your exam tomorrow.
Ang amon maestro sa matematika tam-an ka istrikto sa klase.,Our mathematics teacher is very strict in class.
Palihog ihatag ini nga libro sa imo klasmeyt sa pihak nga kwarto.,Please give this book to your classmate in the other room.
Nakalimtan ko dal-on ang akon proyekto sa sulod sang bag.,I forgot to bring my project inside the bag.
Ang edukasyon amo ang yabi para sa maayo nga bwas-damlag.,Education is the key to a better future.
Masako ang mga estudyante sa pagpanghanda para sa graduation.,The students are busy preparing for the graduation.
May ara kita sang pagtilipon sa library sa ala-una sa hapon.,We have a gathering at the library at one o'clock in the afternoon.
Nahulog ang akon bolpen sa idalom sang lamisa.,My pen fell under the table.
Gusto ko magtapos sang akon kurso para makabulig sa akon ginikanan.,I want to finish my course so I can help my parents.
Indi ko maintindihan ang leksyon parte sa physics.,I cannot understand the lesson regarding physics.
Kinahanglan i-monitor ang vital signs sang pasyente kada duha ka oras.,The patient's vital signs need to be monitored every two hours.
tinlo-an ang pilas sang pasyente para malikawan ang impeksyon.,Clean the patient's wound to avoid infection.
Siguraduha nga husto ang dosis sang bulong nga ihatag mo.,Ensure that the dosage of the medicine you provide is correct.
Nagasakit ang dughan sang tigulang apang kinahanglan niya sang oxygen.,"The elderly person's chest is hurting, so they need oxygen."
Maluya ang lawas sang bata tungod sa mataas nga hilanat.,The child's body is weak due to a high fever.
Kinahanglan naton maghugas sang kamot antes kag pagkatapos magkaon.,We need to wash our hands before and after eating.
Ang nars ang nagabulig sa doktor sa sulod sang operating room.,The nurse assists the doctor inside the operating room.
Indi magkalipat sa pag-inom sang imo bitamina adlaw-adlaw.,Do not forget to take your vitamins every day.
Na-confine ang akon lolo sa ospital tungod sa iya pneumonia.,My grandfather was confined to the hospital because of his pneumonia.
Madasig ang paglapta sang balatian kung indi kita maghalong.,Disease spreads quickly if we are not careful.
Kinahanglan i-update ang software sang computer para madasig ang dinalagan sini.,The computer software needs to be updated so that it runs faster.
Nadula ang tanan ko nga files tungod sa virus nga nagsulod sa system.,All my files were lost because of a virus that entered the system.
Ang internet subong amo na ang panguna nga ginasaligan sa komunikasyon.,The internet is now the primary reliance for communication.
Indi pag-isugid ang imo password sa bisan kay sin-o para sa imo seguridad.,Do not share your password with anyone for your security.
Naguba ang amon router gani wala kami sang signal sang Wi-Fi sa balay.,"Our router broke, so we have no Wi-Fi signal at home."
"Bisan pa malayo ang amon balay, nagtinguha gid ako nga mag-abot sa husto nga oras.","Even though our house is far, I really strived to arrive on time."
"kung indi ka magpamati sa laygay sang imo mga ginikanan, basi maghinulsol ka sa ulihi.","If you do not listen to your parents' advice, you might regret it in the end."
Ang kapisan kag pasensya amo ang mga kinahanglanon para malab-ot ang imo mga handum.,Diligence and patience are the requirements to achieve your dreams.
Nagpahuway kami anay sa idalom sang puno sang kawayan tungod sa tuman nga init sang adlaw.,We rested for a while under the bamboo tree because of the extreme heat of the sun.
"Sang wala na sang mabilin nga pagkaon, nagdesisyon sila nga magkadto na lang sa merkado.","Since there was no food left, they decided to just go to the market."
Kinahanglan i-check ang lebel sang asukar sa dugo sang pasyente antes sia pakan-on sang panyapon.,The patient's blood sugar level must be checked before they are fed dinner.
Ang paggamit sang artificial intelligence makabulig sa pagpadali sang trabaho sa opisina kung gamiton sa husto.,The use of artificial intelligence can help speed up office work if used correctly.
Madamo nga mga turista ang nagakadto sa Isla sang Guimaras para magtilaw sang ila matam-is nga paho.,Many tourists go to Guimaras Island to taste their sweet mangoes.
"Tungod sa kahuol sang iya ubra, masami sia nga nagaantos sa kakapoy kag stress sa lawas.","Due to the pressure of his work, he often suffers from exhaustion and physical stress."
Ang pag-ulikid sa aton kultura kag paghambal sang Hiligaynon importante para sa aton pagkakilanlan bilang Ilonggo.,Caring for our culture and the Hiligaynon language is important for our identity as Ilonggos.
Nagbugtaw ako sang temprano subong nga aga.,I woke up early this morning.
Nakainom ka na bala sang kape?,Did you already drink coffee?
Nagluto ako sang kan-on kag nagprito sang isda para sa pamahaw.,I cooked rice and fried fish for breakfast.
Nagdungan kami kaon sa lamisa.,We ate together at the table.
Maayo ang tyempo subong nga aga.,The weather is nice this morning.
Kinahanglan ko anay magpaligo antes magkadto sa ulubrahan.,I need to take a bath first before going to work.
Diin mo ginbutang ang luwag?,Where did you put the ladle?
Palihog abrihi ang bintana agod makasulod ang hangin.,Please open the window so the air can come in.
Naghalin ako sa balay sang alas siyete.,I left the house at seven o'clock.
"Hulata ako, malakat na ako.","Wait for me, I am about to leave."
tam-an ka trapik sang pagkadto ko sa siudad.,Traffic was heavy on my way to the city.
Nagsakay ako sa jeep padul-ong sa merkado.,I rode a jeepney going to the market.
Makakalapoy gid ang akon ubra subong nga adlaw.,My work today was very tiring.
Naghiwat kami sang malawig nga pagsinapol kagina.,We had a long meeting earlier.
Ulihi na sia nakaabot sa opisina.,He/She arrived late at the office.
Ano oras ka mauli karun?,What time are you going home later?
Nagbakal ako sang utan para sa aton panyaga.,I bought some vegetables for our lunch.
"Maayo ta manyaga, ginagutom na ako.","Let's eat lunch, I'm already hungry."
Natapos mo bala ang imo mga buluhaton?,Did you finish your tasks?
Mapahuway lang ako anay sang kadali.,I will just rest for a while.
Tuman kainit sang adlaw subong nga hapon.,The sun is too hot this afternoon.
May nakit-an ako nga abyan samtang nagalakat.,I met a friend while walking.
Makadto ka bala sa grocery karun?,Are you going to the grocery store later?
Magbakal ka sang tinapay kung magpauli ka na.,Buy some bread on your way home.
Nakaabot ako sa balay antes gid nag-ulan.,I arrived home just before it rained.
Nag-umpisa nga mag-ulan sang mabaskog.,It started raining hard.
