"""When the Earth is close to the Sun it receives more heat energy, and when it is further away it gets less.""","""Kon ang Duta malapit sa Adlaw nagabaton ini sing dugang nga enerhiya sang init, kag kon ini mas malayo nagakuha ini sing diutay."""
Maslow's hierarchy of human needs (left) and the hierarchy of emotional design (right).,Ang hirarkiya ni Maslow sang mga kinahanglanon sang tawo (wala) kag ang hirarkiya sang emosyonal nga desinyo (tuo).
"""Law, 638, and the cases there cited.""","""Kasuguan, 638, kag ang mga kaso nga ginsambit didto."""
DARS stands for Degree Audit Reporting System.,Ang DARS nagakahulugan sang Degree Audit Reporting System.
Subsequent biochemical studies by several laboratories have identified a number of DNA repair and cell cycle proteins that are phosphorylated by ATM kinase in response to different DNA damaging agents.,Ang masunod nga mga pagtuon sa biochemical sang pila ka mga laboratoryo nakakilala sang pila ka mga protina sa pagkay-o sang DNA kag siklo sang selula nga gina-phosphorylate sang ATM kinase bilang sabat sa nagkalainlain nga mga ahente nga nagahalit sa DNA.
"""Picabia's ironic stance in relation to art and culture has prompted scholars to interpret his conflation of human and machine parts as also playful punning of morality, sexuality, and blind faith in technology.""","""Ang makahalam-ot nga panindugan ni Picabia may kaangtanan sa arte kag kultura nagtulod sa mga iskolar nga ipaathag ang iya pagtingob sang mga bahin sang tawo kag makina subong isa man ka makalilipay nga pag-ulog-ulog sang moralidad, sekswalidad, kag bulag nga pagtuo sa teknolohiya."""
Digital raster graphics for California can be freely obtained at The California Spatial Information Library.,Ang mga digital raster graphics para sa California mahimo nga hilway nga makuha sa The California Spatial Information Library.
"""In 1927, most of this harsh language was removed: The language of a number of penalties was tempered.""","""Sang 1927, ang kalabanan sining matigdas nga hambal ginkuha: Ang hambal sang pila ka mga penalidad ginpahaganhagan."""
The Express Program is a great way to continue swimming lessons over the school holidays at an accelerated rate.,Ang Express Program isa ka maayo nga paagi sa pagpadayon sang mga leksyon sa paglangoy sa tion sang bakasyon sa eskwelahan sa madasig nga kadasigon.
"""Most of busy families would want to trade their money for more time, specifically more time to spend with each other.""","""Ang kalabanan sang masako nga mga pamilya luyag magbaylo sang ila kuwarta para sa dugang nga tion, ilabi na ang dugang nga tion nga mahinguyang upod sa isa kag isa."""
"""In other cases, the Zoo directly supports programs around the globe led by world-renowned conservation organizations and conservation experts.""","""Sa iban nga mga kaso, ang Zoo direkta nga nagasuporta sa mga programa sa bug-os nga kalibutan nga ginapangunahan sang mga kilala sa kalibutan nga mga organisasyon sa konserbasyon kag mga eksperto sa konserbasyon."""
Training wheels and coaster brake make learning to ride a bike fun.,Ang mga ruweda sa paghanas kag ang preno sang coaster nagahimo sang pagtuon sa pagsakay sa bisikleta nga makalilipay.
"""To sustain life in a lab, you need to enjoy day-to-day science.""","""Agod mapadayon ang kabuhi sa isa ka lab, kinahanglan mo nga malipay sa adlaw-adlaw nga siyensya."""
"""Birds and small animals will eat the dried fruits, seeds and flower heads from your summer and autumn plants, and can find shelter in the brush.""","""Ang mga pispis kag magagmay nga mga sapat magakaon sang mga uga nga prutas, mga liso kag mga ulo sang bulak gikan sa imo mga tanom sa tig-ilinit kag tigpamulak, kag makakita sing palasilungan sa kahoy-kahoy."""
How will the School use the Library Bus?,Paano gamiton sang Eskwelahan ang Library Bus?
This will help in reducing the stress level which usually occurs in moving.,Makabulig ini sa pagpanubo sang stress level nga masami nagakatabo sa paghulag.
"""When Qasim overthrew the monarchy, he did so in a clandestine coup without mass support.""","""Sang ginpukan ni Qasim ang monarkiya, ginhimo niya ini sa isa ka tago nga kudeta nga wala sing suporta sang masa."""
