"Indi man sia mangú’, kulang lang sia sa tuon.","He is not ignorant, just lacking in study."
Tan-awa ang mápa para indi kita madula.,Look at the map so we won't get lost.
Nag-marásmas sia sang nabatian ang mabaskog nga lupok.,He became wide awake when he heard the loud burst.
Paborito niya nga márka sang sapatos ini.,This is his favorite brand of shoes.
Malawig nga tinuig sia nga nag-obra bilang marinéro.,He worked for many years as a sailor.
Makinis ang salog nga mármul sang ila balay.,The marble floor of their house is smooth.
Maga-gradwar ang akon bata sa bulan sang Márso.,My child will graduate in the month of March.
May importante kita nga miting sa Mártes.,We have an important meeting on Tuesday.
Gingamit niya ang martílyu para ilansang ang kahoy.,He used the hammer to nail the wood.
Ginkabig sia nga martír tungod sa iya daku nga sakripisyo.,He was considered a martyr because of his great sacrifice.
Nagapreparar ang banda para sa ila mártsa buwas.,The band is preparing for their march tomorrow.
Nagsuksok sia sang makahaladlok nga maskará sa kapiestahan.,He wore a scary mask to the festival.
Padayon sia nga nag-obra máskin ginakapoy na.,He continued working even though he was already tired.
Masyádo nga maasin ang imo ginaluto nga sud-an.,The dish you are cooking is too salty.
Nagasakit ang akon mga mata sa sige tulok sa kompyuter.,My eyes hurt from constantly looking at the computer.
Ginkadtoan namon ang matadéro sa merkado kaina.,We went to the butcher at the market earlier.
Wala sia naghatag sang matárung kon ngaa nag-absent sia.,He didn't give a reason why he was absent.
Namatáy si Lálo.,Grandfather died.
Ma’úl na ang akon mga batiis sa sige tindog.,My legs are already numb from standing continuously.
May’edád na si Ramóna.,Ramona is already old.
May ára’ akúng lápis.,I have a pencil.
May gamay nga máya nga naghapon sa sanga.,There is a small wren that perched on the branch.
Mayád gid ang iya ginpakita nga abilidad sa entablado.,The ability he showed on stage was very good.
Mainit gid ang panahon kon bulan sang Máyo.,The weather is very hot during the month of May.
Naghatag sang daku nga bulig ang amon mayór.,Our mayor gave a big help.
Ang mayordómo ang naga-asikaso sa tanan nga kinahanglanon sa mansyon.,The butler takes care of all the needs in the mansion.
Nakabaton sia sang bulawan nga medálya sa kompetisyon.,He received a gold medal in the competition.
Ginkonsulta niya ang medikó tuhoy sa iya balatian.,He consulted the doctor about his illness.
Nagbakal ako sang médya kilo nga bugas kaina.,I bought a half kilo of rice earlier.
Labhi ang imo mahigko nga médyas.,Wash your dirty socks.
May ginbilin sia nga mensáhe para sa imo.,He left a message for you.
Madamo sang preska nga isda sa merkádo subong nga aga.,There are many fresh fish in the open market this morning.
Isa ka matahum nga mestisílya ang nagdaug sa paindis-indis.,A beautiful female half-breed won the contest.
Isa ka mestíso ang bag-o nga artista sa pelikula.,The new actor in the movie is a half-breed.
Lapad nga isa ka métro ang gin-obra nga karsada.,The constructed road is one meter wide.
Ginkay-o sang mikániko ang amon guba nga salakyan.,The mechanic fixed our broken vehicle.
míl num thousand.,
Isa gid ka milágru ang madasig nga pag-ayo sang pasyente.,The fast recovery of the patient was truly a miracle.
milyún num million.,
Malawig sia nga nag-obra sa mína sang bulawan.,He worked for a long time in the gold mine.
Naghatag sang maayo nga sermon ang minístro kahapon.,The minister gave a good sermon yesterday.
Mínus tres pára alás dos.,It is three minutes before two.
Hulaton ko ikaw sang lima ka minútu sa gwa.,I will wait for you for five minutes outside.
Ginabatyag niya ang ka-míngaw nga nagapuyo nga isahanon.,He feels the loneliness living alone.
Nagtambong ang bilog nga pamilya sa mísa sang Domingo.,The whole family attended the Sunday mass.
Naglakbay ang misyonéro para magtudlo sa malayo nga lugar.,The missionary traveled to teach in a far place.
Namítlang ku ang ngálan mu.,I mentioned your name.
Variant of mayád.,
