Hiligaynon Phrase,English Phrase
Tun-an naton ang abakáda subong nga adlaw,Let's study the alphabet today
Masakit ang akon abága sa pagdala sang bag.,My shoulder hurts from carrying the bag.
Matahum ang iya abalóryo nga human sa seashells.,Her beads made of seashells are beautiful.
Siya ang mangin ábay sa kasal sang iya tiya.,She will be a witness at her aunt's wedding.
Abáw! Kadaku gid sang imo nakuha nga isda.,Wow! The fish you caught is really big.
Nag’aberíya ang kótse.,The car had engine trouble.
Abí’ husáya ánay iní.,Would you please solve this first.
Gin’ábi’ábi sya sang mangá táwu.,He was greeted by the people.
Gusto niya mangin abogádo sa pag-abot sang panahon.,He wants to be a lawyer in the future.
Indi maayo ang mag-abóso sa mga sapat.,It is not good to abuse animals.
Nag’ábri si Pédro sang bintána.,Pedro opened a window.
Sa bulan sang Abríl nagasaulog kami sang amon fiesta.,We celebrate our fiesta in the month of April.
Ábtik gid ang bata nga nagatindog sa unahan.,The child standing at the front is very lively.
Gintabunan sang abú ang mga tanum sa palibot.,Ash covered the plants in the area.
Nagbakal si Tatay sang abúnu para sa humay.,Father bought fertilizer for the rice plants.
Nag’abút sya kahápun.,He arrived yesterday.
Ikaw ang pinakasuod ko nga ábyan.,You are my closest friend.
Nadula ang iya ákig sang nagpangayo ako sang patawad.,His anger disappeared when I asked for forgiveness.
Akú ang mapasa sang akon proyekto bwas.,I will submit my project tomorrow.
Gin áku’nya ang salá’.,He admitted the guilt.
Ining lapis nga yara sa lamisa amo ang ákun.,This pencil on the table is mine.
Malipayon nga ádlaw sa imo!,Happy birthday to you!
Nagatuon kami sang amon leksyon ádlaw-ádlaw.,We study our lessons everyday.
Baldádo ang ákun láwas.,My body is all tired out.
Maayong ága sa inyo tanan.,Good morning to you all.
Buotan gid ang amon agálun sa ubrahan.,Our boss at work is very kind.
Gin’ágaw sang báta’ ang lápis.,The child grabbed the pencil.
Ang ágay sang tubig sa gripo mahinay gid.,The flow of water from the faucet is very slow.
Nag ágbay sya kay Cárlos.,He put his arms around Carlos’ shoulder.
Gin’ágda sya pára sa pyésta.,He was invited to the fiesta.
Kanami sang imo ági sa papel.,Your handwriting on the paper is very nice.
May mangá sapat nga matawag naton nga agí’.,There are animals that we can call hermaphrodites.
Sa bulan sang Agósto naga-umpisa ang amon klase.,Our classes start in the month of August.
Nagpangayo kami sang bulig sa agrimensór para sa duta.,We asked for the surveyor's help regarding the land.
Ang mangá mangunguma naga-ágsa sa talamnan ni Manuel.,The farmers are working the field of Manuel for a share.
Nag’ágsik ang túbig.,The water sprayed.
Masakit ang iya ágtang tungod sa hilanat.,His forehead is sore because of the fever.
Magtuon ka sing maayo agúd makapasar ka sa eksamen.,Study hard so that you can pass the exam.
Gin’águm nya ang katibawásan sa pangabúhi’.,He attained success in life.
Mabanglo gid ang iya ágwa nga gingamit.,The perfume she used is very fragrant.
Nag’ agwánta sya sang madámu’ nga kasákit.,He suffered through a lot of heartaches.
Nag’ahá’ sya nga ma’upúd sa síni.,He insisted that he go to the movies [with them).
Nagkadto sila sa ahénsya para magprenda sang singsing.,They went to the pawnshop to pawn a ring.
Ang ahénte sang insurance nagpahatag sang ila polisiya.,The insurance agent explained their policy.
Ginigisa ni Nanay ang áhos kag sibuyas.,Mother is sautéing the garlic and onions.
Mainum si Tatay sang alabá’ab nga tubig.,Father will drink lukewarm water.
Gindilian sang doktor ang pag-inom sang álak.,The doctor forbade the drinking of liquor.
Siya ang paborito nga alágad sang mag-asawa.,He is the favorite adopted person of the couple.
Matahum ang mangá aláhas nga nakatago sa kahon.,The jewelry hidden in the box is beautiful.
Ang álam sang tigulang daku gid ang nabulig sa amon.,The wisdom of the elder helped us a lot.
Gingamit ang alámbre para ihigot ang mangá gamit.,Wire was used to tie the things together.
May alangá’ang ang bata gani wala siya kaeskwela.,"The child has a slight fever, so he didn't go to school."
Álang’álang pa ang prutas nga nakuha mo sa kahoy.,The fruit you picked from the tree is still immature.
Ang tanan nga tawo dapat alangáy sa idalum sang layi.,All people should be equal under the law.
Alás tres na.,It is already three o’clock.
Bawasan mo ang álat sang imo ginaluto.,Reduce the saltiness of what you are cooking.
Puno ang alát sang mangá preska nga isda.,The basket is full of fresh fish.
Nag-álay ang akon likod sa sige pungko.,My back became stiff from sitting too long.
Nag’aláy’ay si Manuel kag si Jose kay Noel.,Manuel and Jose carried Noel.
Naghatag sang mensahe ang alkálde sa mga pumuluyo.,The mayor gave a message to the citizens.
Naka-eksperyensya kami sang alkánse sa negosyo subong.,We experienced a financial loss in business now.
Ang bata nagasulod sang iya sensilyo sa alkansíya.,The child is putting his coins into the coin bank.
Ang mangá mamumugon nagbutang sang alkítran sa kalsada.,The workers put tar on the road.
Ang alibángbang nagalupad sa tunga sang mangá bulak.,The butterfly is flying among the flowers.
Nadula ang iya aligútgut sang nag-istoryahanay sila.,His rage disappeared when they talked to each other.
Nagbakal si Nanay sang preska nga alimángu sa merkado.,Mother bought fresh crab at the market.
May daku nga alipúlus nga natabo sa baybayon.,A big cyclone happened at the coast.
Gin’alíntun ni José ang balíta’ kay Joséfa.,Jose related the incident to Josefa.
Dapat mangin alísto kita kon may katalagman.,We must be alert when there is danger.
