src	tgt
Hiligaynon	Hiligaynon
I	Ako
a	isa
Yes	Huo
Hello	Kamusta
ok	sige
how are you	kamusta ikaw
Hi	Kamusta
okay	sige
No	Indi
thank you	salamat
the	ang
you	ikaw
good morning	mayad nga aga
what	ano
why	ngaa
good	maayo
in	sa
how are you doing	kamusta ka na
how	paano
to	mag
Well	Maayo
so	gani
what are you doing	ano ang imo ginaubra
I love you	Palangga ta ikaw
Sorry	Pasaylo
through	paagi sa
where are you from	taga diin ikaw
thanks	salamat
do	himuon
please	palihug
on	sa
and	kag
when	san-o
Oh	Abaw
is	amo ang
nice	manami
Dear Customer	Pinalangga nga Manugbakal
are	ang mga
really	pagkamatuod
we	kita
have	yara
where	diin
he	sya
beautiful	gwapa
my	akon
thought	panghunahuna
Yeah	Ah gali
who	sin-o
that	ina
Honey	dugos
for	para
great	daku
how old are you	pila na idad mo
it	ini
which	diin
kind	kalulo
also	amo man
what are you doing now	ano ang imo ginaubra subong
get	kuha
there	didto
then	dayon
at	sa
me	ako
can	lata
nice to meet you	nalipay ako nga makilala ka
with	nga may
right	insakto
but	pero
Hey	Hoy
though	apang
go	lakat
however	apang
while	samtang
often	masami
leave	magbiya
nothing	wala
as	kaangay
mean	buot silingon
be	mangin
of	sang
I don't understand	indi ko maintindihan
even	bisan pa
still	gihapon
take	kuha
because	tungod
sure	sigurado
love	gugma
good night	maayo nga pagtulog
from	halin sa
this	ini
cool	mabugnaw
enough	sakto
how are you doing today	kamusta ikaw tulad
about	parte sa
will	papel nga kasugtanan
indeed	sa pagkamatuod
would	dapat
quite	tuman
available	libre
although	bisan pa
purpose	tinutuyo
instead	sa baylo
was	sing mga
cute	kyut
either	ukon
awesome	makahalawhaw
should	dapat
after	pagkatapos
before	antes
left	naghalin
now	subong
Thank you for your patience while we investigate shipment	Salamat sa imo pasensya samtang ginaimbestigahan namon ang padala
above	ibabaw
fair	makatarunganon
dear	Pinalangga
patient	pasyente
busy	masako
pretty	gwapa
both	pareho
consider	konsideron
live	nagakabuhi
tired	kapoy
happy birthday	malipayon nga kaadlawan
fine	manami
they	sila
schedule	iskedyul
just	kaangay
since	halin sang
over	tapos
certain	napat-od
provide	maghatag
could	dapat
Alright	Sige
an	isa
enjoy	magsinadya
appreciate	apresyahon
some	ang iban
approach	pag-istorya
fall	nahulog
make	himo
gorgeous	matahom
attitude	panimuot
always	permi
done	natapos
whether	amo man
present	subong
therefore	gani
I know	bal-an ko
same	pareho
your	imo
my love	akon pinalangga
me too	ako man
wait	dali lang
tomorrow	sa bwas
welcome	gina-abiabi
bear	ginadala
actually	ang matuod
her	sya
rather	sa baylo
issue	maghatag
despite	walay sapayan
were	ang
avoid	likawan
weird	katingalahan
until	hasta
anxiety	paghimud-os
current	karon
keep	tago
straight	tadlong
our	aton
here	diri
experience	eksperyensya
I don't know	wala ako kabalo
lead	nagapanguna
know	bal-an
below	idalom
amazing	dalayawon
further	madamo pa
increase	pagsaka
their	ang ila
happy	masadya
might	basi
hold	uyatan
of course	syempre
all	tanan
work	ubra
come	agto
quiet	hipos
by	sang
bring	magdala
male	lalaki
find	makita
guess	pakta
may	mahimo
meet	makigkita
excited	makakulunyag
essential	kinahanglan
break	naguba
concern	kabalaka
tough	mabakod
am	ako
like	gusto
what is	ano ang
worth	bili
usually	masami
common	kinaandan
water	tubig
baby	lapsag
maybe	basi
upset	akig
read	basa
first	una
appropriate	insakto
already	na
wear	suksok
whole	kabilogan
change	ilis
own	kaugalingon
environment	palibot
huge	dako
light	kasanag
Wow	wow
mood	emosyon
occupation	ubra
opportunity	oportunidad
see	makita
treat	pagtratar
reliable	masaligan
I am	Ako si
regret	hinulsol
improve	improba
beyond	lapaw
or	ukon
soon	sa sunod
behind	sa likod
want	gusto
bad	kado
during	sa tion
claim	gapang angkon
miss	nahidlaw
exactly	insakto gid
deal	pag istoryahanay
weather	klima
if	kon
play	palagwaon
more	damo pa
re	liwat
probably	posibilidad
matter	butang
under	idalom
state	pungsod
bye	paalam
yet	gani
warm	labaab
better	mas maayo
where are you	diin ka
these	mga ini
encourage	pagpalig-on
crush	pagkagusto
average	promedyo
different	lain
interesting	makawiwili
field	latagon
true	sakto
never	wala gid
unique	pinasahi
cousin	pakaisa
almost	halos
hope	paglaum
expect	ginapaabot
release	ginabuy-an
good evening	mayad nga gab-i
definitely	sa pagkamatuod
any	bisan ano
watch	lantaw
put	butang
it is	amu to
place	lugar
important	importante
sick	may sakit
what is your name	ano nag imo ngalan
perhaps	mahimo
mine	akon
eat	kaon
hard	tig-a
high	mataas
cold	lamig
advice	laygay
between	sa tunga
chill	malamig
afraid	hadlok
rude	bastos
stuff	bagay
heart	tagipusuon
spread	lapta
mind	paminsara
she	sya
flat	tapan
them	sila
today	subong nga adlaw
give	hatag
each	kada isa
boring	boryo
hurt	sakit
except	luwas
congratulations	panginbulahan
reach	lab-uton
early	aga pa
being	mangin
major	mayor
against	batok sa
daughter	bata nga babayi
rest	pahuway
order	kasugoan
country	pungsod
beat	tiempo
pain	sakit
handsome	gwapo
head	ulo
ever	asta san-o
one	isa
man	tawo
purchase	bakal
back	balik
look	gapangita
such	sini nga mga
brother	bugto nga lalaki
has	nga
business	negosyo
heat	mainit
