Hiligaynon,English
Madasig sia mag-dalágan sa dalan.,He runs fast on the road.
Malipayon ang dalagíta nga nagahampang sa gwa.,The young girl playing outside is happy.
Indi ka mangin dalámhak sa sogo sang imo mga ginikanan.,Do not be disobedient to the commands of your parents.
Malimpyo ang dálan sa amon barangay.,The road in our barangay is clean.
Nagdálangdálang akú sa dálan.,I lost my way.
Nagdaláwat akú sang bugás.,I bought some rice.
Gindáldal ni María si Joséfa.,Maria talked against Josefa.
Ma-abot ako diri sa dalí’ lang.,I will arrive here immediately.
"Maghulat ka, maabot na ako sa dalí’ lang.","Wait, I will arrive in a little while."
Ang iya gugma sa iya pamilya ay dalísay.,His love for his family is pure.
Gindalú’ ku ang báta’ I caressed the child.,
Indi ka mangin dalúk sa imo mga kautoran.,Do not be selfish toward your siblings.
Nagdalúdu ang subá’.,The river flooded the area.
Dálum gid ang tubig sa sining suba.,The water in this river is very deep.
Ginpadalundunán ku sang ságing ang kárne sa ákun tutúnlan.,I ate a banana to push the piece of meat down my throat.
Nakabatyag sia sang damán kagáb'i.,He experienced a nightmare last night.
May daku nga damáng sa dingding sang balay.,There is a large spider on the wall of the house.
Ano ang imo dámgu para sa imo pamilya?,What is your dream for your family?
Nagdámhag ang báta’ sa salúg.,The child fell headlong on the floor.
Gindampigán ku si María.,I sided with Maria.
Dámu’ ang nakuha namon nga mga isda.,We got plenty of fish.
Ginhanda ni Tatay ang damúg para sa mga baboy.,Father prepared the pig food for the pigs.
Wala sing may gusto makig-upod sa tawo nga damuhál.,No one wants to associate with a person who is rude.
Dámul ang libro nga ginbasa ni Jose.,The book Jose read is thick.
Nadánlug akú.,I slipped.
Gindángat ni Mário ang Lunéta sa lakát.,Mario reached Luneta by walking.
Nag-dangúp kami sa amon lolo para sa bulig.,We appealed to our grandfather for help.
Masakit ang akon dapádapá sa sige lakad.,The soles of my feet hurt from walking all the time.
Dápat makúha’ nátun ang eksámin.,It is necessary that we take the examination.
May mga dápaw ang manok sa uma.,The chickens on the farm have fleas.
Nakita namon ang dapáy nga nagalupad sa langit.,We saw the hawk flying in the sky.
Malapit lang ang amon balay sa dapít sang simbahan.,Our house is just near the church.
Nagdáplus ang kutsílyo sa kamút ku.,The knife slid off my hand.
Nagdápu’ ang alibángbang sa búlak.,The butterfly alighted on the flower.
Nagaluto si Nanay sa dapúg.,Mother is cooking on the stove.
Nag-obra kami sang dáp’ung sa baybayon.,We made a bonfire at the beach.
Nagdápyus ang ti’íl ku sa lápuk.,My foot slid in the mud.
Maglakad ka sing dásig para indi kita ma-late.,Walk quickly so we won't be late.
Gindás’il si Ana sa higád pagka’aksidénte nilá.,Ana was thrown to the side when they had an accident.
Gindasúk ku ang mangá báyu’ sa maléta.,I filled the bag with clothes.
Indi mag-obra sing dasú’dasú’ nga desisyon.,Do not make an impulsive decision.
Kitaay kita sa dasún nga semana.,Let's see each other next week.
Pila ang imo da’úg sa hampang sang lotto?,How much are your winnings in the lotto game?
Nadá’ut ang reputasyón nya sang natabú’.,Her reputation was damaged after the incident.
Dáw sa mag-ulutod gid kamo kon lantawon.,You look similar to siblings when viewed.
Indi maayo ang mag-obra sang dáya’ sa kaupod.,It is not good to trick a companion.
Gusto ko mag-dayán sa plaza karon sa hapon.,I want to stroll in the plaza this afternoon.
Gindáyaw ang ímu trabáho sa eskwelahán.,Your work was commended in school.
Dayáw gid ang iya pamatasan sa mga tawo.,His behavior towards people is very vain.
Nagpadáyun ang Presidénte sa paghámbal.,The President went on speaking.
De motor ang íya barútu.,His canoe is motorized.
Debóto sia sang Mahal nga Birhen.,He is devout to the Blessed Virgin.
,
Nagdekora kamí sang baylíhan.,We decorated the ballroom.
Puti ang de’ílo nga ginsuksok niya sa okasyon.,The linen pants he wore to the occasion were white.
Nagsuksok sia sang delárgo pakadto sa obra.,He wore long pants to work.
Ang Pilipinas isa ka pungsod nga may demokrásya.,The Philippines is a country with democracy.
Indi magpati sa mga hambal sang demónyo.,Do not believe the words of the devil.
Nagkadto ako sa dentísta para pabutong sang unto.,I went to the dentist to have a tooth pulled.
Mag-andam kamo para malikawan ang desgrásya.,Be careful to avoid accidents.
Ano ang imo desisyón parte sa aton plano?,What is your decision regarding our plan?
Sa diin ang imo sunod nga destíno sa obra?,Where is your next work assignment?
Masadya ang bulan sang Desyémbre.,The month of December is happy.
Kari dí sa amon balay.,Come here to our house.
Manami ang debúhu sang imo punda.,The design of your pillowcase is nice.
Tan-awa ang kahulugan sang tinaga sa diksyonáryo.,Look at the meaning of the word in the dictionary.
"/mag-, -un/ to dictate, Nagdíkta ang ma’éstra sa kláse.",The teacher dictated in class.
Gingamit niya ang didál sa pag-panahi.,She used a thimble for sewing.
Kadto kamo sa dídtu nga dapit.,Go to that place over there.
Di’ín mo ginbutang ang akon mga libro?,Where did you put my books?
Dí’in sadtu nga mga balay ang inyo?,Which of those houses over there is yours?
Dí’in siná’ nga mga sapatos ang gusto mo?,Which of those shoes do you want?
Dí’in siní ang imo ginbakal nga libro?,Which of these is the book you bought?
Ginpaguwa sang bata ang iya díla’.,The child stuck out his tongue.
Nagdilántu ang ákun negósyo.,My business expanded.
Gindilápan akú sang idú’.,The dog licked me.
Gindíli’ ang paghabúy sang papél sa eskwelahán.,It was forbidden to throw paper around the school campus.
Nadímat ang turísta sang Lunéta.,The tourist was attracted to Luneta.
Matahum ang pintura sang amon díngding.,The paint on our wall is beautiful.
Dingút gid ang tawo nga indi maghatag.,The person who doesn't give is very stingy.
Ibutang ang mga gamit sa dirá’ sa lamesa.,Put the things there on the table.
Ang direktór sang eskwelahan maayo gid.,The school director is very good.
Pungko ka dirí sa akon kilid.,Sit here beside me.
Nagsulat sia sang isa ka diskúrso para sa graduation.,He wrote a speech for the graduation.
Nagdisgústo si María kay Ana.,Maria and Ana had a misunderstanding.
Gindisimulár naláng námun kay makahulúya’.,We tried to overlook it because it was shameful.
Importante ang disiplína sa pagtuon.,Discipline is important in studying.
Manami ang iya disprás sa kumpetisyon.,Her costume in the competition is nice.
Indi mo pag-i-dís’ug ang bata kay basi matumba.,Do not jostle the child because he might fall.
Nakita ko ang diwál sang ido samtang nagainom.,I saw the dog's lapping tongue while drinking.
Ang mga tigulang nagapati sa diwáta’.,The elders believe in fairies.
Malipayon nga díyas sa imo!,Happy birthday to you!
Dóble ang akon ginbayad sa nag-obra.,I paid the worker double.
Maayo ang doktór nga nag-atipan sa iya.,The doctor who cared for him is good.
Nagahampang si Dódong sa kilid sang balay.,Dodong (the young boy) is playing beside the house.
Magapahuway kami sa balay sa Domínggo.,We will rest at home on Sunday.
Kobradór ang íya tátay.,His father is a collector.
Naga-istar sia sa dormitóryo lapit sa eskwelahan.,He stays in a dormitory near the school.
Nagbakal ako sang isa ka doséna nga itlog.,I bought one dozen eggs.
Masanag ang du’ág sang langit subong.,The color of the sky is bright today.
Nagdú’aw kamí kay Mariáno sa ospitál.,We visited Mariano in the hospital.
Nagduká’ akú sa síni.,I felt drowsy in the movie.
Nagdúkduk silá sang ma’ís.,They ground some corn.
Nag-dukú’ sia para puluton ang lapis sa salog.,He stooped down to pick up the pencil on the floor.
Gintago niya ang importante nga dukuménto sa kahon.,He hid the important document in the box.
I-dukút ang imo litrato sa papel.,Paste your photo on the paper.
Wala na ako sing dúda sa iya ginhambal.,I have no more doubt about what he said.
Matam-is ang dúga’ sang tubo.,The juice of the sugarcane is sweet.
May dúgang nga bayad kon gusto mo sang ekstra nga kan-on.,There is an additional charge if you want extra rice.
Pila ka oras ang imo gin-dúgay sa dalan?,How long (hours) did you spend on the road?
Dugáydugáy nagabalik sia sa amon balay.,He returns to our house frequently.
Gin-dúgkal niya ang kawayan sa duta.,He thrust the bamboo into the ground.
Naghugot ang iya dúghan tungod sa kalisud.,His chest tightened because of sorrow.
Gindúgmuk ku ang pildorás.,I crushed the tablet.
Nakita ko ang dugú’ sa iya kamot.,I saw the blood on his hand.
Nagdúguk akú sa kasál.,I took part in the wedding procession.
Ang dugús ay maayo para sa ubo.,Honey is good for a cough.
Matahum ang dúgwak nga nagalangoy sa punong.,The swan swimming in the pond is beautiful.
Nag-dúhadúha sia nga ibaligya ang iya duta.,He hesitated to sell his land.
Gindúhul sang kartéro ang sulát.,The mailman delivered the letter personally.
Nadúla’ ang síngsing.,The ring got lost.
Madamo nga tawo ang naga-obra sa dúlang.,Many people are working in the mine.
Nagdulhug ang báta’.,The child slid down.
Nagdúlingdúling si Pédro pa’úli’.,Pedro staggered home.
Nagdúlug ang dyip sa baláy.,The jeepney stopped at home.
Ma-dulúm na sa gwa gani magsulod na kamo.,"It is already dark outside, so come inside."
Ara sa dulúnan sang banwa ang amon balay.,Our house is at the boundary of the town.
Nagpadúlung si José sa eskwelahán.,Jose went in the direction of the school.
Gindúl’ung ni Juán ang padalá sa íya.,Juan delivered what was sent through him.
Masakit ang akon dulúnggan tungod sa katunog.,My ear hurts because of the loud noise.
Naghatag sila sang dúlut sa simbahan.,They gave an offering to the church.
Mahilig ang bata magkaon sang dúlsi.,The child loves to eat candy.
Ang bag-o nga opisyal ang ma-dumála sang programa.,The new official will manage the program.
Nagdúmdum akú nga mabú’ut si Senén.,I thought Senen was good.
Gindumíli ang paghabúy sang papél.,The throwing of paper was prohibited.
Nag-dúmug ang duha ka bata sa kilid sang dalan.,The two children wrestled on the side of the road.
Madamo sing dumulú’ung nga nagabisita sa Boracay.,Many foreigners visit Boracay.
Gindúmtan si Manuél sang mangá táwu.,Manuel was begrudged by the people.
Indi na pwede kaunon ang dunút nga saging.,The rotten banana can no longer be eaten.
Maglakat kita sing dúngan pakadto sa eskwelahan.,Let's walk together to school.
Nagdúngka’ ang bapór.,The boat has docked.
Nagdúnglay ang báta’ sa a bága ku.,The child inclined his head on my shoulder.
Nagdungúk akú.,I looked down.
Importante nga amligan naton ang aton dungúg.,It is important that we protect our honor.
Gindúpla’ ku ang bulúng.,I spit the medicine.
Nagdúsdus akú sang kalukálu.,I mixed the fried rice together.
Nadúsmu’ akú pagdalágan.,I stumbled while I was running.
I-dusú’ ang lamisa pakadto sa pirtahan.,Push the table towards the door.
