Hiligaynon,English
Maayong aga.,Good morning.
Maayong hapon.,Good afternoon.
Maayong gab-i.,Good evening.
Kamusta ka?,How are you?
"Maayo man, salamat.","I’m fine, thank you."
Ano ang ngalan mo?,What is your name?
Ang ngalan ko si...,My name is...
Diin ka naga-puyo?,Where do you live?
Tagadiin ka?,Where are you from?
Pila ang edad mo?,How old are you?
Nalipay gid ako nga makilala ka.,I am very happy to meet you.
Diin ka makadto?,Where are you going?
Malakat na ako.,I am going now.
Balik ka liwat.,Come back again.
Halong ka gid.,Take care always.
Salamat gid.,Thank you very much.
Walay sapayan.,You're welcome.
Palihog ko...,Please... (requesting a favor)
Indi ko maintiendihan.,I don't understand.
Ano ang siling mo?,What did you say?
Pila ini?,How much is this?
Mahal gid ini.,This is very expensive.
Barato lang ini.,This is just cheap.
Wala na sing tawad?,Is there no more discount?
Gutom na ako.,I am hungry already.
Gusto ko magkaon.,I want to eat.
Uhaw na ako.,I am thirsty already.
Gusto ko mag-inom sang tubig.,I want to drink water.
Diin ang banyo diri?,Where is the bathroom here?
Tagpila ang plete?,How much is the fare?
Para diri lang.,"Just here, please. (stopping a vehicle)"
Kaupod ko ang pamilya ko.,I am with my family.
Mapuli na ako.,I am going home now.
Tulog na ang bata.,The child is sleeping.
Bugtaw na sia.,He/She is awake already.
Maulan yata karon.,It might rain later.
Mainit gid ang panyempo.,The weather is very hot.
Tugnaw ang tubig.,The water is cold.
Diin ang simbahan?,Where is the church?
Bukas na ang tindahan.,The store is open already.
Piyong ang imo mata.,Close your eyes.
Kadlaw ka man.,You laugh too.
Ngaa nagahibi ka?,Why are you crying?
Indi ka magkabalaka.,Do not worry.
Buligi ako palihog.,Please help me.
May ara ka sang...?,Do you have any...?
Wala ako sing kwarta.,I don't have money.
Ano ang oras na?,What time is it?
Kaupod mo bala sia?,Is he/she with you?
Tuod gid bala?,Is it really true?
Maayong aga sa inyo tanan.,Good morning to you all.
Maayong hapon sa imo.,Good afternoon to you.
Maayong gab-i sa aton.,Good evening to us.
Kamusta ang lawas mo?,How is your health?
"Maayo man, salamat sa pagpamangkot.","I'm fine, thanks for asking."
Ano ang ginahimo mo diri?,What are you doing here?
Diin ka makadto subong?,Where are you going now?
Malakat na kami.,We are leaving now.
Balik kamo liwat sa amon.,Come back to us again.
Halong kamo sa dalan.,Take care on the road.
Salamat gid sang madamo.,Thank you very much.
Wala ina sing problema.,That is no problem.
Palihog kuha sang tubig.,Please get some water.
Indi ko kaintiende sang Hiligaynon.,I don't understand Hiligaynon.
Mahinay lang ang paghambal.,Just speak slowly.
Ano ang buot silingon sini?,What does this mean?
Pila ang bili sini?,How much is the price of this?
Mahal gid ang baligya niyo.,Your goods are very expensive.
Hatagi ako sing tawad.,Give me a discount.
Barato na ina nga bili.,That price is already cheap.
Gutom na gid ako.,I am really hungry now.
Gusto ko magkaon sang kan-on.,I want to eat rice.
Uhaw na gid ako.,I am really thirsty now.
Hatagi ako sing mainom.,Give me something to drink.
Diin dampi ang banyo?,Which way is the bathroom?
Tagpila ang plete pakadto sa banwa?,How much is the fare to town?
Para sa kanto lang.,"Just at the corner, please."
Kaupod ko ang akon mga ginikanan.,I am with my parents.
Mapuli na ako sa balay.,I am going home to the house now.
Tulog pa ang mga kabata-an.,The children are still sleeping.
Bugtaw na ang tanan.,Everyone is awake already.
Daw maulan gid karon.,It looks like it will rain later.
Mainit gid ang adlaw.,The sun is very hot.
Matugnaw ang panyempo diri.,The weather is cold here.
Diin ang pinakamalapit nga simbahan?,Where is the nearest church?
Sirado na ang tindahan.,The store is closed already.
Piyong ang imo mga mata.,Close your eyes.
Ngaa nagakadlaw ka sa akon?,Why are you laughing at me?
Indi ka maghibi.,Do not cry.
Indi ka magkabalaka sa akon.,Do not worry about me.
Buligi ako palihog sang akon karga.,Please help me with my load.
May ara kamo sang bugas?,Do you have any rice?
Wala na kami sing kwarta.,We don't have any more money.
Ano na ang oras subong?,What time is it now?
Kaupod mo bala ang imo bana?,Is your husband with you?
Matuod gid bala ina?,Is that really true?
Diin mo ini ginbakal?,Where did you buy this?
Malayo pa bala ang lalakton naton?,Do we still have a long way to walk?
Malapit na lang kita mag-abot.,We are almost there.
Pahuway anay kita diri.,Let's rest here for a while.
Diin dampi ang ospital?,Where is the hospital located?
Masakit ang akon ulo.,My head hurts.
Kinahanglan ko sing bulong.,I need medicine.
Inom ka sang tubig.,Drink some water.
Tulog ka na sing maayo.,Sleep well now.
Diin mo ginbutang ang akon bayu?,Where did you put my clothes?
Ara sa sulod sang kaban.,It is inside the chest.
Hugasi palihog ang mga plato.,Please wash the plates.
Trapo ang lamesa.,Wipe the table.
Ubosa ang imo pagkaon.,Finish your food.
Namit gid ang imo luto.,Your cooking is very delicious.
Busog na gid ako.,I am very full already.
Gusto mo pa sing dugang?,Do you want more?
"Indi na, salamat gid.","No more, thank you."
Diin dampi ang paradaan sang bus?,Where is the bus stop located?
Malakat ang bus sa alas-otso.,The bus leaves at eight o'clock.
Pila ka oras ang byahe?,How many hours is the trip?
Dal-a ang imo payong.,Bring your umbrella.
Basi mabasa ka sang ulan.,You might get wet from the rain.
Ano ang ginapangita mo?,What are you looking for?
Nadula ang akon pitaka.,My wallet is lost.
Nakita mo bala ang akon linsub?,Did you see my keys?
Ari na ang imo ginkwa.,Here is what you took.
Hatagi ako sing gamay.,Give me a little bit.
Sobra na ina.,That is too much already.
Kurang pa ini.,This is still lacking.
Kabalo ka bala maglangoy?,Do you know how to swim?
Kadto kita sa baybay.,Let's go to the beach.
Matahum gid ang palibot.,The surroundings are very beautiful.
Mahigko ang dalan.,The road is dirty.
Limpyo ang amon balay.,Our house is clean.
Sin-o ang kaupod mo sa kwarto?,Who is with you in the room?
Ako lang isa diri.,I am just alone here.
Nahadlok ako sa kasanag.,I am afraid of the light.
Indi ka magkahadlok.,Do not be afraid.
Mag-upod ka sa amon.,Come along with us.
"Hu-o, upod ako sa inyo.","Yes, I am going with you."
Indi ako gusto magkadto.,I don't want to go.
Ngaa indi ka gusto?,Why don't you want to?
Kapoy na ang akon lawas.,My body is tired already.
Gusto ko magpahuway.,I want to rest.
Buksi ang bintana.,Open the window.
Siraduha ang pultahan.,Close the door.
Patya ang suga.,Turn off the light.
Sindaha ang kandila.,Light the candle.
Init gid ang panahon subong.,The weather is very hot right now.
Maulanon ang tyempo subong nga bulan.,It is rainy this month.
Pila kamo tanan sa pamilya?,How many are you in the family?
Lima kami ka mag-ulutod.,We are five siblings.
Ako ang kamagulangan.,I am the eldest.
Sia ang amon kamanghuran.,He/She is our youngest.
Buot gid ang akon lola.,My grandmother is very kind.
Isog ang akon lolo.,My grandfather is strict/brave.
Palangga ko ang akon pamilya.,I love my family.
Mag-ayuhay kamo pirme.,Always get along with each other.
Indi kamo mag-away.,Do not fight.
Magbinuligay kita tanan.,Let us all help each other.
Amo gid ina ang dapat.,That is exactly how it should be.
Maayo ang patubas subong nga tuig.,The harvest is good this year.
Nagtanum kami sang humay sa kakahuyan.,We planted rice in the woodlands.
Kinahanglan na naton mag-guna sa talatapan.,We need to weed the garden now.
Malapad gid ang talamnan sang tubo.,The sugarcane field is very wide.
Diin mo ginbutang ang binagun?,Where did you put the bolo?
Gamita ang binaliw sa pag-utod sang sanga.,Use the curved knife to cut the branch.
Mabug-at ang sako sang bugas.,The sack of rice is heavy.
Ginasunog nila ang dagami sa latagon.,They are burning the rice straw in the field.
Buligi ako mag-alsa sang sini nga kahon.,Help me lift this box.
Mapait ang luto nga amargoso.,The cooked bitter gourd is bitter.
Matam-is ang paho nga luto na.,The ripe mango is sweet.
Maaslam ang lansones nga wala pa naglu-oy.,The lansones that isn't soft yet is sour.
Naguba ang dararo sang baka.,The cow's plow is broken.
Malakat na ang karga nga asukar.,The sugar cargo is about to leave.
Pila ka gatos ka sako ang ara sa bodega?,How many hundred sacks are in the warehouse?
Bugnaw ang tubig sa bubon.,The water in the well is cold.
Nagasaka sia sa lubi para magkwa sang tibuok.,He is climbing the coconut tree to get a whole nut.
Maputi ang kolor sang panyos mo.,Your handkerchief's color is white.
Maitum ang panganod sa langit.,The clouds in the sky are black/dark.
Madulom ang dalan kon gab-i.,The road is dark at night.
Masanag ang bulan subong nga gab-i.,The moon is bright tonight.
Malayo ang dagat halin diri.,The sea is far from here.
Mabaskog ang balod sa baybay.,The waves at the beach are strong.
Nagapangisda ang akon amay sa tunga sang lawod.,My father is fishing in the middle of the deep sea.
Nakakuha sila sang madamo nga isda.,They caught many fish.
Preska pa ang isda sa tindahan.,The fish in the market is still fresh.
Ginasala nila ang balas sa sapa.,They are sifting the sand in the creek.
Nagatupa ang ulan sa bubungan.,The rain is hitting the roof.
Malandog ang dalan kon naga-ulan.,The road is slippery when it rains.
Madamo sang lamok sa gwa sang balay.,There are many mosquitoes outside the house.
Masakit ang akon agtang.,My forehead hurts.
Malabo ang akon panulokan.,My eyesight is blurred.
Nagapalamanog ang akon batiis.,My calves are swelling.
Mapula ang imo mga mata.,Your eyes are red.
Gakulo ang akon tiyan.,My stomach is growling.
Sakit sang akon panyos.,My wrist hurts.
Mabaskog ang kasing-kasing niya.,His/Her heart is strong.
Nagahapo ang tigulang.,The elderly person is gasping for breath.
May hilanat ang bata subong.,The child has a fever now.
Sip-unon ako tungod sa ulan.,I have a cold because of the rain.
