Hi!,Kamusta!
Hello there!,Hello didto!
How are you?,Kamusta ikaw?
"I'm good, thanks!","Maayo ako, salamat!"
What's your name?,Ano ang imo ngalan?
Nice to meet you.,Nalipay ako nga makilala ka.
Where are you from?,Taga diin ikaw?
I'm from Canada.,Taga Canada ako.
Do you speak English?,Makahambal ka bala sang Ingles?
"Yes, a little.","Huo, diutay."
Can I help you?,Pwede ko bala ikaw buligan?
"Sure, no problem.","Sigurado, wala sing problema."
Thank you so much!,Duro gid nga salamat!
You're welcome!,Ginaabiabi ka namon!
"Excuse me, please.","Pasensya na, palihog."
I'm sorry about that.,Pasensya na sa sina.
No worries at all.,Wala sing kabalaka sa tanan.
See you later!,Makitaay kita lapit na lang!
Have a great day!,Maayo nga adlaw!
Take care!,Maghalong!
What time is it?,Ano oras subong?
It's three o'clock.,Alas tres na.
Today is Monday.,Lunes subong nga adlaw.
Tomorrow is the weekend!,Buwas na ang katapusan sang semana!
The weather is nice today.,Maayo ang panahon karon.
It's raining outside.,Ga ulan sa gwa.
Don't forget your umbrella.,Indi pagkalimti ang imo payong.
I need a coffee.,Kinahanglan ko sang kape.
Would you like tea?,Gusto mo bala sang tsa?
"Yes, please, with milk.","Huo, palihog, nga may gatas."
Where is the bathroom?,Diin ang banyo?
It's down the hall.,Yara ini sa idalom sang pasilyo.
Is this seat taken?,Ginkuha na bala ini nga pulungkuan?
"No, go ahead.","Indi, sige lang."
Can I sit here?,Pwede bala ako magpungko diri?
"Of course, please do.","Siempre, palihog himua."
What's for dinner?,Ano ang para sa panihapon?
I'm making pasta tonight.,Nagahimo ako sang pasta subong nga gab-i.
That sounds delicious!,Daw manamit ina pamatian!
Can you pass the salt?,Makapasa ka bala sang asin?
Here you go.,Yari ka na.
Thanks a lot!,Madamo gid nga salamat!
I'm hungry.,Gutom nako.
Let's order pizza.,Mag-order kita sang pizza.
Good idea!,Maayo nga ideya!
What's your favorite food?,Ano ang paborito mo nga pagkaon?
I love sushi.,Nanamian ako sang sushi.
Me too!,Ako man!
Have you eaten yet?,Nakaon ka na bala?
"Not yet, I'm starving.","Wala pa, ginagutom na ako."
Let's grab lunch together.,Mag-upod kita sa paniudto.
Sounds perfect.,Daw himpit ang tunog.
Where should we go?,Diin kita dapat magkadto?
How about the new cafe?,Kamusta ang bag-o nga kapehan?
Great choice!,Maayo nga pagpili!
I'll meet you at noon.,Makita taka sa udto.
See you then!,Magkitaay kita dayon!
My phone is ringing.,Nagatunog ang akon telepono.
Can you answer it?,Masabat mo bala ini?
"Sure, one second.","Sigurado, isa ka segundo."
It's probably spam.,Mahimo nga spam ini.
I'll call you back later.,Tawagan ko ikaw sa ulihi.
"Okay, talk soon!","Sige, mag-istorya sa gilayon!"
Did you get my message?,Nabaton mo bala ang akon mensahe?
"Yes, I saw it.","Huo, nakita ko ini."
Thanks for letting me know.,Salamat sa pagpahibalo sa akon.
You're welcome anytime.,Ginaabi-abi ka bisan san-o.
Can I borrow your pen?,Pwede ko bala mahulam ang imo bolpen?
"Of course, here it is.","Siempre, yari ini."
"Thanks, I'll return it soon.","Salamat, ibalik ko ini sa indi madugay."
"No rush, take your time.","Indi magdali, hatagi sang imo tion."
I lost my keys.,Nadula ko ang akon mga yabi.
Have you checked your bag?,Gin-usisa mo na bala ang imo bag?
"Oh, there they are!","Oh, yari sila!"
"Phew, that was close.","Phew, malapit na yadto."
I'm running late.,Naga late na ako.
"Don't worry, I'll wait.","Indi magkabalaka, maghulat ako."
Thank you for your patience.,Salamat sa imo pasensya.
The bus is delayed.,Na-delay ang bus.
How long is the wait?,Daw ano kalawig ang paghulat?
About ten minutes.,Mga napulo ka minuto.
I'll wait right here.,Maghulat ako diri mismo.
Is the train on time?,Ang tren bala yara sa oras?
"Yes, it just arrived.","Huo, bag-o lang ini nag-abot."
Let's hurry to the platform.,Magdali kita sa plataporma.
We made it just in time!,Nahimo namon ini sa husto nga tion!
That was close.,Malapit na yadto.
Where are we going again?,Diin kita liwat makadto?
To the city center.,Sa sentro sa siyudad.
